filename,phones
./LibriTTS/train-clean-100/696/93314/696_93314_000070_000002.wav,"['t̪ʰ', 'i', 'z', 'v', 'ɛ', 'ɹ', 'i', 'v', 'ɛ', 'ɹ', 'i', 'k', 'l', 'ɛ', 'v', 'ɹ̩']"
./LibriTTS/train-clean-100/696/93314/696_93314_000020_000003.wav,"['a', 'ɪ', 'ə', 'n', 'm', 'a', 'ɪ', 's', 't', 'ʁ', 'ɔ', 'z', 'm', 'a', 'ɪ', 'ɛ', 't', 'a', 'ŋ', 'ɡ', 'iː', 'h', 'ɛ', 'ə', 'd', 'ɛ', 't']"
./LibriTTS/train-clean-100/696/93314/696_93314_000044_000000.wav,"['b̥', 'ʌ', 'tʰ', 'ð', 'ə', 'ɑ', 'l', 'n', 'l', 'ɨ', 's̪', 'h', 'ɹ̩', 'w', 'ɑ', 'z', 'n', 'o', 'w', 'd', 'ɹ', 'i', 'm', 'ɹ̩', 'æ', 'n', 'd', 'h', 'i', 's', 'ɔ', 'x', 'h', 'ɹ̩', 'ə', 'b̥', 'a', 'w', 'tʰ', 'θ', 'ɹ', 'i', 't', 'a', 'j', 'm', 'z', 'ə', 'w', 'i', 'k']"
./LibriTTS/train-clean-100/696/93314/696_93314_000012_000005.wav,"['d', 'ə', 'f', 'ɔ', 'ʏ', 'n', 't', 'm', 'n', 'ə', 'n', 'ə', 'n', 'tʂʰ', 'a', 'm', 't', 'y', 'h', 'ɛ', 'ə', 'f', 'ɑ', 'ð', 'ɹ̩', 'f', 'ɹ̩', 'h', 'ʊ', 'ŋ̟', 'n', 'ð', 'ɪ', 'a', 'n', 'm', 'ɨ', 'f', 'ɹ̩', 'ə', 'h', 'a', 't͡ʃ', 'a', 'ɪ', 't', 'e', 'ɾ', 'i', 't', 'ə', 'n']"
./LibriTTS/train-clean-100/696/93314/696_93314_000010_000000.wav,"['ʌ', 'ʋ', 'x', 'uə', 'o', 's̪', 'a', 'b̞', 'ɪ', 'l̪', 'ɪ', 'a', 'ɴ', 'o', 'b̞', 'uə', 'i', 'a', 'mʲ', 'æ', 'ɳ', 'p', 'uə', 'lʲ', 'ɪ', 'l', 'k', 'a', 'ɾ', 'ʌ', 'd', 'ɪ', 's̪', 'e', 't͡ʃʲ', 'uə', 'e', 'ɪ', 'ʂ', 'ə', 'ɴ', 's', 'æ', 'm', 'h', 'æ', 'o']"
./LibriTTS/train-clean-100/696/93314/696_93314_000024_000001.wav,"['ɒ', 'z', 'ə', 'n', 'ɕ', 'a', 'ɾ', 'tʲ', 'i', 'h', 'a', 'd']"
./LibriTTS/train-clean-100/696/93314/696_93314_000073_000000.wav,"['v', 'a', 'ɪ', 'e', 'k', 'uə', 'ʁ', 'w', 'a', 'ɪ', 'ʂ', 'ɻ̩', 'lʲ', 'ɪ']"
./LibriTTS/train-clean-100/696/93314/696_93314_000069_000000.wav,"['w', 'ɛ', 'n', 'ij', 'i', 'æ', 'n', 'ts', 'ɔ', 'l̪', 'l', 'ð', 'ə', 'g', 'ɹ̩', 'l', 'ɛ', 'v', 'ɹ', 'i', 'θ', 'ɪ', 'ŋ', 'æ', 'n', 'd', 'w', 'ɛ', 'n', 'ʃ', 'i', 'w', 'ɑ', 'z', 'e', 'j', 'b̥', 'ə', 'l', 't', 'ə', 'd', 'u', 'ɛ', 'n', 'i', 'θ', 'ɪ', 'ŋ', 'b̥', 'ʌ', 'tʰ', 'l', 'æ', 'f', 'æ', 'n', 'k', 'w', 'a', 'ə', 'n', 'p', 'ʀ', 'ɪ', 'ŋ', 'dʲ', 'ə', 'h', 'ɪ', 'm', 'ɪ', 't', 'ð', 'ɪ', 'n', 'h', 'ɛ', 'n', 's', 'ʃ', 'iː', 's', 'ɛ', 'd']"
./LibriTTS/train-clean-100/696/93314/696_93314_000061_000003.wav,"['j', 'u', 'w', 'l', 'h', 'æ', 'v', 't', 'ə', 'i', 'θ', 'j', 'ɔ', 'ɹ', 'l', 'a', 'j', 'ɛ', 's', 'ð', 'o', 'w', 'ɪ', 'tʰ', 'w', 'uə', 'ɪ', 'l', 's', 'm', 'æ', 'ʂ', 'ɹ̩', 'l', 'a', 'j', 'f', 'æ', 'n', 'd', 'ɹ', 'u', 'ə', 'n', 'j', 'u', 's', 'o', 'w', 'ʂ', 'ə', 'l', 'i', 'æ', 'n', 'd', 'p', 'ɹ', 'ə', 'f', 'ɛ', 'ʃ', 'ə', 'n', 'ə', 'l', 'i']"
./LibriTTS/train-clean-100/696/93314/696_93314_000016_000001.wav,"['a', 'j', 'm', 'ɪ', 't', 'ɹ̩', 'ɛ', 'k', 't', 'ɹ̩', 'j', 'u', 'n', 'ɛ', 'w']"
